account_id,customer_id,product_id,balance_myr,open_date,status
A000001,C00001,P01,14752.25,2022-03-12,Active
A000002,C00002,P01,47645.4,2023-06-06,Active
A000003,C00003,P01,44657.03,2014-04-28,Active
A000004,C00004,P01,30179.84,2022-11-28,Active
A000005,C00005,P01,50274.21,2026-01-10,Active
A000006,C00005,P10,-4164.06,2022-12-14,Active
A000007,C00006,P01,47515.64,2026-06-21,Active
A000008,C00006,P02,40540.52,2026-08-19,Active
A000009,C00007,P01,45932.13,2024-09-23,Active
A000010,C00008,P03,26517.95,2015-03-24,Active
A000011,C00008,P01,38234.62,2022-12-09,Active
A000012,C00008,P06,-38854.92,2026-05-19,Active
A000013,C00008,P04,-21856.89,2015-10-25,Active
A000014,C00009,P04,-23692.33,2026-03-04,Active
A000015,C00009,P01,43885.72,2026-10-07,Dormant
A000016,C00009,P02,137974.4,2026-09-01,Active
A000017,C00009,P10,-1318.29,2026-10-23,Active
A000018,C00010,P01,22699.05,2022-04-07,Active
A000019,C00010,P10,-12714.69,2023-02-23,Active
A000020,C00011,P04,-12998.47,2015-07-07,Active
A000021,C00011,P01,38743.32,2025-06-10,Active
A000022,C00011,P10,-1058.84,2026-11-12,Dormant
A000023,C00012,P04,-11264.98,2019-05-06,Active
A000024,C00012,P01,4181.56,2020-04-26,Active
A000025,C00013,P01,69998.51,2019-10-14,Active
A000026,C00014,P06,-32001.48,2023-07-09,Active
A000027,C00014,P01,34593.08,2021-06-20,Active
A000028,C00014,P02,89593.65,2025-04-29,Active
A000029,C00015,P01,44205.11,2026-01-28,Active
A000030,C00015,P10,-347.27,2020-06-06,Active
A000031,C00015,P05,-265617.19,2023-04-16,Active
A000032,C00016,P01,1776.75,2016-04-01,Active
A000033,C00016,P06,-94326.34,2025-09-01,Active
A000034,C00016,P05,-229190.68,2026-12-04,Active
A000035,C00016,P10,-14014.55,2013-08-27,Dormant
A000036,C00017,P01,13519.79,2024-07-28,Active
A000037,C00018,P01,14550.43,2026-04-20,Active
A000038,C00019,P01,2795.17,2025-08-02,Active
A000039,C00019,P06,-42068.2,2026-06-18,Active
A000040,C00019,P10,-11731.74,2026-08-27,Active
A000041,C00020,P01,26422.79,2026-02-12,Active
A000042,C00020,P06,-72489.86,2026-01-14,Active
A000043,C00021,P01,21164.87,2020-01-06,Active
A000044,C00022,P01,27866.7,2022-08-19,Active
A000045,C00022,P06,-88640.01,2020-04-11,Active
A000046,C00023,P01,13320.36,2017-07-26,Active
A000047,C00024,P01,15868.53,2016-03-29,Active
A000048,C00024,P05,-211865.46,2015-03-10,Active
A000049,C00024,P11,20607.43,2018-02-06,Active
A000050,C00025,P01,925.39,2026-06-13,Active
A000051,C00026,P04,-15622.99,2025-03-26,Active
A000052,C00026,P01,22360.16,2019-02-28,Active
A000053,C00027,P03,23725.28,2025-05-29,Active
A000054,C00027,P01,14750.2,2018-10-07,Active
A000055,C00028,P01,36816.67,2015-02-05,Dormant
A000056,C00029,P04,-14099.55,2020-02-08,Active
A000057,C00029,P01,49765.28,2017-05-15,Dormant
A000058,C00030,P03,17722.47,2024-12-23,Active
A000059,C00030,P01,32319.43,2023-09-06,Active
A000060,C00031,P03,55944.59,2026-01-22,Active
A000061,C00031,P01,13345.8,2026-07-08,Active
A000062,C00031,P10,-13902.09,2026-04-28,Active
A000063,C00032,P01,10982.16,2021-05-09,Active
A000064,C00033,P03,32840.54,2026-06-17,Active
A000065,C00034,P01,16715.13,2021-03-19,Active
A000066,C00035,P01,28115.56,2022-11-19,Active
A000067,C00036,P01,17684.83,2026-03-14,Active
A000068,C00036,P05,-269158.02,2018-11-24,Active
A000069,C00037,P03,32084.43,2020-11-13,Dormant
A000070,C00037,P01,36703.98,2023-12-21,Active
A000071,C00037,P06,-108704.0,2022-01-22,Active
A000072,C00038,P03,42131.01,2023-01-29,Active
A000073,C00038,P01,12627.85,2025-02-07,Active
A000074,C00038,P02,153616.14,2023-06-30,Active
A000075,C00038,P05,-194426.53,2024-03-25,Active
A000076,C00039,P01,22252.97,2017-06-07,Active
A000077,C00040,P06,-74083.62,2025-01-08,Active
A000078,C00041,P01,24434.07,2025-12-11,Active
A000079,C00041,P10,-1513.54,2016-06-10,Active
A000080,C00042,P04,-28122.79,2025-04-11,Active
A000081,C00042,P01,1105.83,2023-12-16,Active
A000082,C00043,P03,26542.17,2026-10-18,Active
A000083,C00043,P01,6158.06,2026-04-01,Active
A000084,C00043,P04,-15494.01,2026-10-15,Closed
A000085,C00044,P01,29288.29,2015-07-14,Active
A000086,C00045,P01,34588.54,2026-01-07,Active
A000087,C00046,P01,10389.19,2023-06-13,Active
A000088,C00046,P05,-260272.29,2024-02-15,Active
