txn_id,customer_id,txn_date,amount_myr,channel,category,merchant
T0003496,C00187,2026-04-05,2124.74,Debit Card,Education,SkillUp Academy
T0011122,C00599,2025-07-18,178.87,Mobile App,Utilities,Indah Water
T0009581,C00514,2026-07-15,642.03,Mobile App,Healthcare,Klinik Mediviron
T0014022,C00751,2026-01-07,1999.97,Mobile App,Cash Withdrawal,ATM Withdrawal
T0013472,C00725,2025-01-03,946.12,Debit Card,Retail Shopping,MR DIY
T0002865,C00153,2025-09-11,192.85,Internet Banking,Dining,Nasi Kandar House
T0011099,C00598,2025-08-18,246.27,Branch,Fuel,BHP Fuel
T0008088,C00435,2025-12-07,113.16,Internet Banking,Cash Withdrawal,ATM Withdrawal
T0007139,C00382,2026-07-15,5035.62,QR Pay,Transfer,DuitNow Transfer
T0002581,C00137,2026-04-04,850.87,Mobile App,Cash Withdrawal,ATM Withdrawal
T0001108,C00061,2026-07-15,1120.12,ATM,Retail Shopping,Padini Store
T0005974,C00320,2025-06-10,469.88,Internet Banking,Utilities,TNB Bill
T0007520,C00404,2025-12-20,1596.34,Mobile App,Transfer,DuitNow Transfer
T0000026,C00002,2025-11-10,357.55,Mobile App,Cash Withdrawal,ATM Withdrawal
T0005366,C00291,2026-04-18,1480.79,QR Pay,Education,EduBooks
T0004633,C00250,2026-07-15,4226.86,Internet Banking,Travel,Agoda MY
T0003069,C00163,2026-07-15,3936.26,Internet Banking,Travel,Agoda MY
T0012608,C00679,2025-11-29,924.3,Debit Card,Retail Shopping,H&M Central
T0007476,C00401,2026-03-10,1644.56,Mobile App,Cash Withdrawal,ATM Withdrawal
T0005257,C00286,2025-12-04,349.9,Mobile App,Retail Shopping,MR DIY
T0011500,C00618,2025-06-11,1377.66,Mobile App,Cash Withdrawal,ATM Withdrawal
T0003080,C00164,2025-05-19,2585.51,Debit Card,Transfer,IBG Transfer
T0002231,C00120,2025-09-24,2593.44,QR Pay,Travel,Agoda MY
T0002297,C00124,2026-07-15,178.54,Branch,Fuel,ShellPlus
T0006579,C00351,2026-02-23,99.54,Internet Banking,Entertainment,TGV Movies
T0012641,C00681,2026-07-15,179.67,Internet Banking,Entertainment,Spotify MY
T0012579,C00678,2026-04-14,565.03,ATM,Retail Shopping,Padini Store
T0007997,C00429,2026-07-04,657.87,QR Pay,Transfer,IBG Transfer
T0003198,C00172,2025-09-22,2945.86,Internet Banking,Transfer,IBG Transfer
T0007572,C00407,2025-03-10,132.97,ATM,Telco,Maxis
T0009457,C00507,2025-05-24,362.03,Mobile App,Utilities,Astro
T0012512,C00674,2026-07-15,1072.38,Mobile App,Education,Little Genius
T0001948,C00107,2026-07-15,380.74,Mobile App,Utilities,Astro
T0009919,C00532,2026-07-15,54.12,Branch,Entertainment,TGV Movies
T0013526,C00728,2025-01-10,6936.17,Debit Card,Transfer,IBG Transfer
T0011916,C00643,2026-07-15,88.3,ATM,Entertainment,Steam
T0010296,C00553,2026-07-15,234.82,ATM,Entertainment,GSC Cinemas
T0003233,C00174,2026-01-16,483.38,Mobile App,Utilities,Air Selangor
T0004941,C00268,2025-11-14,1105.94,Mobile App,Retail Shopping,Uniqlo MY
T0013081,C00703,2025-01-17,976.59,Branch,Retail Shopping,MR DIY
T0000417,C00022,2025-07-17,164.75,ATM,Groceries,FreshMart
T0001209,C00067,2026-07-15,871.17,QR Pay,Retail Shopping,H&M Central
T0007036,C00377,2025-10-08,20.11,Mobile App,Entertainment,TGV Movies
T0003185,C00171,2025-05-30,5130.37,Branch,Transfer,Instant Transfer
T0009033,C00484,2026-07-15,110.49,Internet Banking,Entertainment,Spotify MY
T0010830,C00585,2025-04-24,353.93,Mobile App,Cash Withdrawal,ATM Withdrawal
T0001453,C00082,2025-02-12,2179.3,ATM,Transfer,IBG Transfer
T0011098,C00598,2025-01-15,833.52,Debit Card,Transfer,Instant Transfer
T0013140,C00707,2026-07-15,193.52,Branch,Telco,Maxis
T0000271,C00014,2025-01-10,53.78,Branch,Telco,Celcom
T0002728,C00145,2025-10-14,478.97,Mobile App,Utilities,Indah Water
T0008856,C00474,2025-01-26,99.7,Mobile App,Entertainment,TGV Movies
T0013221,C00710,2025-05-23,2649.87,Mobile App,Education,EduBooks
T0003010,C00160,2026-03-17,68.89,Mobile App,Entertainment,TGV Movies
T0005832,C00314,2026-07-15,291.86,Internet Banking,Healthcare,Watsons
T0014536,C00778,2025-12-06,130.14,QR Pay,Telco,Digi
T0013710,C00737,2026-05-02,246.39,Internet Banking,Cash Withdrawal,ATM Withdrawal
T0004970,C00269,2025-03-25,412.35,Debit Card,Retail Shopping,H&M Central
